CA	P	PA
IBM	17	46
MICROSOFT TECHNOLOGY LICENSING	3	14
CLEARAG	7	9
NEC	0	7
FACEBOOK	1	5
SALESFORCE.COM	2	4
ADOBE SYSTEMS	0	6
GOOGLE	0	5
FRACTAL INDUSTRIES	0	5
UTOPUS INSIGHTS	1	4
