CA	P	PA
IBM	23	13
MICROSOFT	9	9
CAVIUM, CAVIUM NETWORKS	10	1
FACEBOOK	4	4
GOOGLE	5	3
PALO ALTO RESEARCH CENTER	5	1
ACCENTURE	4	1
FTI CONSULTING TECHNOLOGY SOFTWARE, FTI CONSULTING, FTI CONSULTING TECHNOLOGY	5	0
AMAZON TECHNOLOGIES	3	2
FUJITSU	1	3
